"lon" "lat" "bottom_depth" "month" "time" "date" "vertical_advection_v"
-180 -35 804 6 2015-06-15 736130 0
-180 -35 804 7 2015-07-15 736160 0
-180 -35 804 8 2015-08-15 736191 0
-180 -35 804 9 2015-09-15 736222 0
-180 -35 804 10 2015-10-15 736252 0
-180 -35 804 11 2015-11-15 736283 0
-180 -35 804 12 2015-12-15 736313 0
-180 -30 877 1 2015-01-15 735979 0
-180 -30 877 2 2015-02-15 736010 0
-180 -30 877 3 2015-03-15 736038 0
-180 -30 877 4 2015-04-15 736069 0
-180 -30 877 5 2015-05-15 736099 0
-180 -30 877 6 2015-06-15 736130 0
-180 -30 877 7 2015-07-15 736160 0
-180 -30 877 8 2015-08-15 736191 0
-180 -30 877 9 2015-09-15 736222 0
-180 -30 877 10 2015-10-15 736252 0
-180 -30 877 11 2015-11-15 736283 0
-180 -30 877 12 2015-12-15 736313 0
-180 -25 950 1 2015-01-15 735979 0
-180 -25 950 2 2015-02-15 736010 0
-180 -25 950 3 2015-03-15 736038 0
-180 -25 950 4 2015-04-15 736069 0
-180 -25 950 5 2015-05-15 736099 0
-180 -25 950 6 2015-06-15 736130 0
-180 -25 950 7 2015-07-15 736160 0
-180 -25 950 8 2015-08-15 736191 0
-180 -25 950 9 2015-09-15 736222 0
-180 -25 950 10 2015-10-15 736252 0
-180 -25 950 11 2015-11-15 736283 0
-180 -25 950 12 2015-12-15 736313 0
-180 -20 1023 1 2015-01-15 735979 0
-180 -20 1023 2 2015-02-15 736010 0
-180 -20 1023 3 2015-03-15 736038 0
-180 -20 1023 4 2015-04-15 736069 0
-180 -20 1023 5 2015-05-15 736099 0
-180 -20 1023 6 2015-06-15 736130 0
-180 -20 1023 7 2015-07-15 736160 0
-180 -20 1023 8 2015-08-15 736191 0
-180 -20 1023 9 2015-09-15 736222 0
-180 -20 1023 10 2015-10-15 736252 0
-180 -20 1023 11 2015-11-15 736283 0
-180 -20 1023 12 2015-12-15 736313 0
-180 -15 1096 1 2015-01-15 735979 0
-180 -15 1096 2 2015-02-15 736010 0
-180 -15 1096 3 2015-03-15 736038 0
-180 -15 1096 4 2015-04-15 736069 0
-180 -15 1096 5 2015-05-15 736099 0
-180 -15 1096 6 2015-06-15 736130 0
-180 -15 1096 7 2015-07-15 736160 0
-180 -15 1096 8 2015-08-15 736191 0
-180 -15 1096 9 2015-09-15 736222 0
-180 -15 1096 10 2015-10-15 736252 0
-180 -15 1096 11 2015-11-15 736283 0
-180 -15 1096 12 2015-12-15 736313 0
-180 -10 1169 1 2015-01-15 735979 0
-180 -10 1169 2 2015-02-15 736010 0
-180 -10 1169 3 2015-03-15 736038 0
-180 -10 1169 4 2015-04-15 736069 0
-180 -10 1169 5 2015-05-15 736099 0
-180 -10 1169 6 2015-06-15 736130 0
-180 -10 1169 7 2015-07-15 736160 0
-180 -10 1169 8 2015-08-15 736191 0
-180 -10 1169 9 2015-09-15 736222 0
-180 -10 1169 10 2015-10-15 736252 0
-180 -10 1169 11 2015-11-15 736283 0
-180 -10 1169 12 2015-12-15 736313 0
-180 -5 1242 1 2015-01-15 735979 0
-180 -5 1242 2 2015-02-15 736010 0
-180 -5 1242 3 2015-03-15 736038 0
-180 -5 1242 4 2015-04-15 736069 0
-180 -5 1242 5 2015-05-15 736099 0
-180 -5 1242 6 2015-06-15 736130 0
-180 -5 1242 7 2015-07-15 736160 0
-180 -5 1242 8 2015-08-15 736191 0
-180 -5 1242 9 2015-09-15 736222 0
-180 -5 1242 10 2015-10-15 736252 0
-180 -5 1242 11 2015-11-15 736283 0
-180 -5 1242 12 2015-12-15 736313 0
-180 0 1315 1 2015-01-15 735979 0
-180 0 1315 2 2015-02-15 736010 0
-180 0 1315 3 2015-03-15 736038 0
-180 0 1315 4 2015-04-15 736069 0
-180 0 1315 5 2015-05-15 736099 0
-180 0 1315 6 2015-06-15 736130 0
-180 0 1315 7 2015-07-15 736160 0
-180 0 1315 8 2015-08-15 736191 0
-180 0 1315 9 2015-09-15 736222 0
-180 0 1315 10 2015-10-15 736252 0
-180 0 1315 11 2015-11-15 736283 0
-180 0 1315 12 2015-12-15 736313 0
-180 5 1388 1 2015-01-15 735979 0
-180 5 1388 2 2015-02-15 736010 0
-180 5 1388 3 2015-03-15 736038 0
-180 5 1388 4 2015-04-15 736069 0
-180 5 1388 5 2015-05-15 736099 0
-180 5 1388 6 2015-06-15 736130 0
-180 5 1388 7 2015-07-15 736160 0
-180 5 1388 8 2015-08-15 736191 0
-180 5 1388 9 2015-09-15 736222 0
-180 5 1388 10 2015-10-15 736252 0
-180 5 1388 11 2015-11-15 736283 0
-180 5 1388 12 2015-12-15 736313 0
-180 10 1461 1 2015-01-15 735979 0
-180 10 1461 2 2015-02-15 736010 0
-180 10 1461 3 2015-03-15 736038 0
-180 10 1461 4 2015-04-15 736069 0
-180 10 1461 5 2015-05-15 736099 0
-180 10 1461 6 2015-06-15 736130 0
-180 10 1461 7 2015-07-15 736160 0
-180 10 1461 8 2015-08-15 736191 0
-180 10 1461 9 2015-09-15 736222 0
-180 10 1461 10 2015-10-15 736252 0
-180 10 1461 11 2015-11-15 736283 0
-180 10 1461 12 2015-12-15 736313 0
-180 15 1534 1 2015-01-15 735979 0
-180 15 1534 2 2015-02-15 736010 0
-180 15 1534 3 2015-03-15 736038 0
-180 15 1534 4 2015-04-15 736069 0
-180 15 1534 5 2015-05-15 736099 0
-180 15 1534 6 2015-06-15 736130 0
-180 15 1534 7 2015-07-15 736160 0
-180 15 1534 8 2015-08-15 736191 0
-180 15 1534 9 2015-09-15 736222 0
-180 15 1534 10 2015-10-15 736252 0
-180 15 1534 11 2015-11-15 736283 0
-180 15 1534 12 2015-12-15 736313 0
-180 20 1607 1 2015-01-15 735979 0
-180 20 1607 2 2015-02-15 736010 0
-180 20 1607 3 2015-03-15 736038 0
-180 20 1607 4 2015-04-15 736069 0
-180 20 1607 5 2015-05-15 736099 0
-180 20 1607 6 2015-06-15 736130 0
-180 20 1607 7 2015-07-15 736160 0
-180 20 1607 8 2015-08-15 736191 0
-180 20 1607 9 2015-09-15 736222 0
-180 20 1607 10 2015-10-15 736252 0
-180 20 1607 11 2015-11-15 736283 0
-180 20 1607 12 2015-12-15 736313 0
-180 25 1680 1 2015-01-15 735979 0
-180 25 1680 2 2015-02-15 736010 0
-180 25 1680 3 2015-03-15 736038 0
-180 25 1680 4 2015-04-15 736069 0
-180 25 1680 5 2015-05-15 736099 0
-180 25 1680 6 2015-06-15 736130 0
-180 25 1680 7 2015-07-15 736160 0
-180 25 1680 8 2015-08-15 736191 0
-180 25 1680 9 2015-09-15 736222 0
-180 25 1680 10 2015-10-15 736252 0
-180 25 1680 11 2015-11-15 736283 0
-180 25 1680 12 2015-12-15 736313 0
-180 30 1753 1 2015-01-15 735979 0
-180 30 1753 2 2015-02-15 736010 0
-180 30 1753 3 2015-03-15 736038 0
-180 30 1753 4 2015-04-15 736069 0
-180 30 1753 5 2015-05-15 736099 0
-180 30 1753 6 2015-06-15 736130 0
-180 30 1753 7 2015-07-15 736160 0
-180 30 1753 8 2015-08-15 736191 0
-180 30 1753 9 2015-09-15 736222 0
-180 30 1753 10 2015-10-15 736252 0
-180 30 1753 11 2015-11-15 736283 0
