"date" "xco2_air" "lat"
722817 334.85 -11.5369590328155
722817 334.7412 -14.4775121859299
722817 334.6624 -17.4576031237221
722817 335.2946 -2.86598398259886
722817 334.6136 -20.4873151147227
722817 334.5902 -23.5781784782018
722817 334.5852 -26.743683950403
722817 334.5904 -30
722817 334.6002 -33.3670129692318
722817 334.61 -36.869897645844
722817 334.6166 -40.5416018735045
722817 334.6174 -44.4270040008057
722817 334.6108 -48.5903778907291
722817 335.1362 -5.73917047726679
722817 334.595 -53.130102354156
722817 334.5702 -58.2116693829484
722817 334.5382 -64.1580672368329
722817 334.503 -71.8051276612332
722817 334.9848 -8.62692655867864
722817 334.47 -90
722817 335.4524 0
722817 336.2664 11.5369590328155
722817 336.6378 14.4775121859299
722817 337.1124 17.4576031237221
722817 335.61 2.86598398259886
722817 337.6672 20.4873151147227
722817 338.2486 23.5781784782018
722817 338.7854 26.743683950403
722817 339.221 30
722817 339.5298 33.3670129692318
722817 339.7194 36.869897645844
722817 339.82 40.5416018735045
722817 339.8676 44.4270040008057
722817 339.8924 48.5903778907291
722817 335.7814 5.73917047726679
722817 339.913 53.130102354156
722817 339.936 58.2116693829484
722817 339.9614 64.1580672368329
722817 339.9864 71.8051276612332
722817 335.9902 8.62692655867864
722817 340.0078 90
722848 335.666666666667 -11.5369590328155
722848 335.478 -14.4775121859299
722848 335.318666666667 -17.4576031237221
722848 336.361666666667 -2.86598398259886
722848 335.188 -20.4873151147227
722848 335.081666666667 -23.5781784782018
722848 334.991 -26.743683950403
722848 334.910333333333 -30
722848 334.832666666667 -33.3670129692318
722848 334.754333333333 -36.869897645844
722848 334.672666666667 -40.5416018735045
722848 334.586333333333 -44.4270040008057
722848 334.496666666667 -48.5903778907291
722848 336.116666666667 -5.73917047726679
722848 334.404 -53.130102354156
722848 334.311 -58.2116693829484
722848 334.221 -64.1580672368329
722848 334.139 -71.8051276612332
722848 335.882 -8.62692655867864
722848 334.068 -90
722848 336.610333333333 0
722848 337.737333333333 11.5369590328155
722848 338.127333333333 14.4775121859299
722848 338.578666666667 17.4576031237221
722848 336.861333333333 2.86598398259886
722848 339.071666666667 20.4873151147227
722848 339.562333333333 23.5781784782018
722848 339.995 26.743683950403
722848 340.329 30
722848 340.547333333333 33.3670129692318
722848 340.664666666667 36.869897645844
722848 340.713666666667 40.5416018735045
722848 340.735 44.4270040008057
722848 340.761333333333 48.5903778907291
722848 337.121666666667 5.73917047726679
722848 340.812 53.130102354156
722848 340.890666666667 58.2116693829484
722848 340.986 64.1580672368329
722848 341.082 71.8051276612332
722848 337.407333333333 8.62692655867864
722848 341.166333333333 90
722876 336.009 -11.5369590328155
722876 335.74375 -14.4775121859299
722876 335.524 -17.4576031237221
722876 337.02325 -2.86598398259886
722876 335.34675 -20.4873151147227
722876 335.203 -23.5781784782018
722876 335.0825 -26.743683950403
722876 334.9745 -30
722876 334.8705 -33.3670129692318
722876 334.7645 -36.869897645844
722876 334.654 -40.5416018735045
722876 334.5385 -44.4270040008057
722876 334.418 -48.5903778907291
722876 336.66 -5.73917047726679
722876 334.295 -53.130102354156
722876 334.1725 -58.2116693829484
722876 334.0555 -64.1580672368329
722876 333.94975 -71.8051276612332
722876 336.3175 -8.62692655867864
722876 333.85875 -90
722876 337.391 0
722876 338.78175 11.5369590328155
722876 339.14825 14.4775121859299
722876 339.55375 17.4576031237221
722876 337.752 2.86598398259886
722876 339.9945 20.4873151147227
722876 340.44175 23.5781784782018
722876 340.8475 26.743683950403
722876 341.16775 30
722876 341.37975 33.3670129692318
722876 341.49275 36.869897645844
722876 341.53675 40.5416018735045
722876 341.5515 44.4270040008057
722876 341.5715 48.5903778907291
722876 338.0995 5.73917047726679
722876 341.61775 53.130102354156
722876 341.694 58.2116693829484
722876 341.79125 64.1580672368329
722876 341.89075 71.8051276612332
722876 338.4385 8.62692655867864
722876 341.97875 90
722907 336.1578 -11.5369590328155
722907 335.857 -14.4775121859299
722907 335.6124 -17.4576031237221
722907 337.3366 -2.86598398259886
722907 335.4198 -20.4873151147227
722907 335.269 -23.5781784782018
722907 335.1468 -26.743683950403
722907 335.0394 -30
722907 334.937 -33.3670129692318
722907 334.8328 -36.869897645844
722907 334.724 -40.5416018735045
722907 334.6106 -44.4270040008057
722907 334.4946 -48.5903778907291
722907 336.91 -5.73917047726679
722907 334.3798 -53.130102354156
722907 334.2698 -58.2116693829484
722907 334.1688 -64.1580672368329
722907 334.0802 -71.8051276612332
722907 336.512 -8.62692655867864
722907 334.0054 -90
722907 337.776 0
722907 339.4802 11.5369590328155
722907 339.9118 14.4775121859299
722907 340.3686 17.4576031237221
722907 338.2138 2.86598398259886
722907 340.852 20.4873151147227
722907 341.3418 23.5781784782018
722907 341.801 26.743683950403
722907 342.192 30
722907 342.4922 33.3670129692318
722907 342.6992 36.869897645844
722907 342.822 40.5416018735045
722907 342.875 44.4270040008057
722907 342.8692 48.5903778907291
722907 338.642 5.73917047726679
722907 342.8148 53.130102354156
722907 342.7234 58.2116693829484
722907 342.611 64.1580672368329
722907 342.497 71.8051276612332
722907 339.0616 8.62692655867864
722907 342.3974 90
722937 335.902333333333 -11.5369590328155
722937 335.582 -14.4775121859299
722937 335.338333333333 -17.4576031237221
722937 337.264666666667 -2.86598398259886
722937 335.166333333333 -20.4873151147227
722937 335.051666666667 -23.5781784782018
722937 334.976666666667 -26.743683950403
722937 334.924 -30
722937 334.879333333333 -33.3670129692318
722937 334.832666666667 -36.869897645844
722937 334.780333333333 -40.5416018735045
722937 334.719333333333 -44.4270040008057
