"WMIOD" "tracer" "cycle" "longitude_E" "longitude_median_PS_E" "latitude_N" "latitude_median_PS_E" "season_label" "date" "time" "mean_tracer_concentration_mmol_m3" "mean_tracer_concentration_error_mmol_m3" "tracer_dt_mmol_m2_d1" "tracer_dt_error_mmol_m2_d1" "gas_mmol_m2_d1" "gas_error_mmol_m2_d1" "EP_mmol_m2_d1" "EP_error_mmol_m2_d1" "entrainment_mmol_m2_d1" "entrainment_error_mmol_m2_d1" "vertical_diffusion_mmol_m2_d1" "vertical_diffusion_error_mmol_m2_d1" "vertical_advection_mmol_m2_d1" "vertical_advection_error_mmol_m2_d1" "tracer_background_dt_mmol_m2_d1" "Bio_mmol_m2_d1" "Bio_error_mmol_m2_d1" "latitude_median_PS_N" "integration_depth_m" "MLD_m"
5904395 "DIC" 1 -150.014 NA -39.695 NA "Not applicable" 735710.775011597 2014-04-21 2081.08295471794 12.2185409516013 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Not applicable" 94 63
5904395 "DIC" 2 -150.136 NA -39.783 NA "Not applicable" 735716.092534725 2014-04-27 2087.03983218661 12.2187551817844 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Not applicable" 96 61
5904395 "DIC" 3 -150.205 NA -39.843 NA "Not applicable" 735721.405636586 2014-05-02 2093.98644873215 12.2202533720651 24.4581726985967 0.242281620479492 0.355117069695464 0.142665515290754 0 0 0 0 6.71310923531154 1.38585359711029 -9.11498645819772 4.21159523742855 0 26.5049328517875 5.71332224510435 "Not applicable" 86 74
5904395 "DIC" 4 -150.32 NA -39.889 NA "Not applicable" 735726.863159748 2014-05-07 2093.9414324516 12.221165110007 0.34831940193532 0.566050556070039 0.206882455778434 0.0831134143553223 0 0 0 0 6.95758453773526 1.43173951122026 -10.5164501746117 4.85074510046717 0 3.70030258303331 5.71868774384569 "Not applicable" 82 67
5904395 "DIC" 5 -150.351 NA -39.952 NA "Not applicable" 735732.128379633 2014-05-13 2094.72575018032 12.2214951772802 8.52980110710436 0.298440424612041 0.253251445303087 0.101741794539128 0 0 0 0 8.28239362217848 1.59546861586707 -11.3679547999913 5.30146505647273 0 11.362110839614 6.24137727119204 "Not applicable" 78 68
5904395 "DIC" 6 -150.327 NA -40.006 NA "Not applicable" 735737.483356496 2014-05-18 2093.6748002472 12.2214982259814 5.84965233043393 0.41272021710026 0.408921010300972 0.164280829130049 0 0 0 0 6.70160822229732 1.29360047919631 -8.65588532455395 4.01854580683276 0 7.39500842238959 4.59640939662244 "Not applicable" 77 61
5904395 "DIC" 7 -150.272 NA -40.048 NA "Not applicable" 735742.760196782 2014-05-23 2094.59772548043 12.2224129527894 8.64207792555454 0.27885443069124 0.798644212796776 0.320849088584621 0 0 0 0 5.85651442794415 1.13097651221627 -4.70065263703848 2.25238748271968 0 6.68757192185209 2.99023091743642 "Not applicable" 77 71
5904395 "DIC" 8 -150.08 NA -40.055 NA "Not applicable" 735748.141319449 2014-05-29 2096.45325362878 12.2234506355675 10.4550400039866 0.177120601390201 0.788894466703683 0.316932204072373 0 0 0 0 4.82405742998579 1.1204411735642 -1.22427209124432 0.631554392736838 0 6.06636019854141 1.39426446177557 "Not applicable" 77 80
5904395 "DIC" 9 -149.93 NA -40.083 NA "Not applicable" 735753.476307884 2014-06-03 2096.82807041159 12.2237205752565 13.5883149216094 0.0338186914418651 1.87956980222105 0.755102520385076 0 0 0 0 3.57058474889479 1.04428728635755 -0.129402058077469 0.129083442021548 0 8.26756242857107 1.10088125991874 "Not applicable" 78 83
5904395 "DIC" 10 -149.793 NA -40.103 NA "Not applicable" 735758.754629652 2014-06-08 2097.25498198516 12.2240955898569 13.8596685226028 0.0834357300262591 2.42169159574911 0.972895726130872 0 0 0 0 1.34041917533291 0.347822062008069 0.357632304785096 0.158545019096434 0 9.73992544673571 0.828576311125725 "Not applicable" 78 77
5904395 "DIC" 11 -149.699 NA -40.083 NA "Not applicable" 735764.052615742 2014-06-14 2097.82607871836 12.2250453807359 14.2848164613386 0.178005039338193 2.70400673589692 1.08631363357787 0 0 0 0 1.06657115186696 0.306762417904187 0.684822202662464 0.311155305776521 0 9.82941637091224 0.829533301493394 "Not applicable" 79 83
5904395 "DIC" 12 -149.613 NA -40.03 NA "Not applicable" 735769.362025474 2014-06-19 2098.17707865285 12.2251989141658 15.0538982504444 0.198155607587987 2.50469632090402 1.00624222759854 0 0 0 0 1.11150924560544 0.296385960162406 0.248037971291483 0.116189193336993 0 11.1896547126435 0.981616068544412 "Not applicable" 79 89
5904395 "DIC" 13 -149.566 NA -40.012 NA "Not applicable" 735774.830347247 2014-06-24 2099.14593628065 12.2256035891873 16.5917352319453 0.224395881937982 2.51284293382958 1.00951506585409 0 0 0 0 0.257418473592111 0.0830066121207015 1.08480620350804 0.452617387451166 0 12.7366676210156 0.727455432865578 "Not applicable" 79 101
5904395 "DIC" 14 -149.643 NA -39.927 NA "Not applicable" 735780.130196763 2014-06-30 2099.30285604635 12.225892721697 16.6930038970291 0.198980631357829 1.48251218719988 0.595587717856176 0 0 0 0 0.106262016904127 0.0186469641504575 1.34373060000799 0.549072831983796 0 13.7604990929171 0.292491917751186 "Not applicable" 80 91
5904395 "DIC" 15 -149.727 -149.8 -39.832 -38.95 "Not applicable" 735785.391574086 2014-07-05 2099.79559998381 12.2260651736867 19.1064319287101 0.207823744203048 1.47672826677529 0.59326407290021 0 0 0 0 0.0528530276139115 0.0221635063837417 1.69744038324779 0.67397484374739 0 15.8794102510731 0.233113995262218 "Not applicable" 80 67
5904395 "DIC" 16 -149.787 -149.8 -39.788 -38.95 "Not applicable" 735790.753159745 2014-07-10 2103.35159464856 12.2269603676012 19.6218566710352 0.218552951389254 1.50765177334197 0.605687350673696 0 0 0 0 -0.106216282195915 0.0334899598227576 2.36633659406014 0.935284500213992 0 15.854084585829 0.33404444679418 "Not applicable" 81 111
