"WMIOD" "tracer" "cycle" "longitude_E" "longitude_reference_PS_E" "latitude_N" "latitude_reference_PS_N" "season_label" "date" "time" "mean_tracer_concentration_mmol_m3" "mean_tracer_concentration_error_mmol_m3" "tracer_dt_mmol_m2_d1" "tracer_dt_error_mmol_m2_d1" "gas_mmol_m2_d1" "gas_error_mmol_m2_d1" "EP_mmol_m2_d1" "EP_error_mmol_m2_d1" "entrainment_mmol_m2_d1" "entrainment_error_mmol_m2_d1" "vertical_diffusion_mmol_m2_d1" "vertical_diffusion_error_mmol_m2_d1" "vertical_advection_mmol_m2_d1" "vertical_advection_error_mmol_m2_d1" "tracer_background_dt_mmol_m2_d1" "Bio_mmol_m2_d1" "Bio_error_mmol_m2_d1" "integration_depth_m" "MLD_m"
5906222 "DIC" 1 108.268 106.019 -37.992 -37.241 "P" 737802.81961808 2020-01-12 2119.34005051056 8.47109238916913 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 45 62
5906222 "DIC" 2 107.174 106.019 -37.668 -37.241 "P" 737813.081041669 2020-01-23 2115.42887375729 8.47020786732628 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 54 41
5906222 "DIC" 3 106.645 106.019 -37.114 -37.241 "P" 737823.327349547 2020-02-02 2112.13858693845 8.46895385108802 -1.96639707969004 1.24220704921881 1.11335629391788 0.254268248681441 0 0 0 0 1.02114276958629 0.341263711080076 -9.63457047603162 4.12500674857075 -6.92944519027977 12.8827260393979 4.64102984291758 53 32
5906222 "DIC" 4 106.019 106.019 -37.241 -37.241 "P" 737833.582141221 2020-02-12 2121.51986791739 8.46883455721906 -13.9670163753473 1.15754995734555 1.00948927489491 0.230547104635274 0 0 0 0 1.21332100628678 0.426575250328583 -8.51594700621327 3.65217406113777 -7.25950723426201 -0.106520303654521 3.79409641832413 55 22
5906222 "DIC" 5 104.766 106.019 -37.427 -37.241 "P" 737843.851643544 2020-02-22 2106.07994471983 8.46780979502133 -2.1481917498697 0.183754844328697 0.894483804584221 0.204282161701524 0 0 0 0 1.28043494396077 0.420286591677433 -2.65957486431487 1.3030354592086 -5.33212045476365 3.93481730124734 1.72619435412778 56 47
5906222 "DIC" 6 103.783 106.019 -37.293 -37.241 "P" 737854.11391204 2020-03-04 2105.4496311391 8.46796626976974 -1.26284643266236 0.354260110020637 0.75149649670199 0.171626728254474 0 0 0 0 1.29317533364561 0.709592829369116 0.171719509325395 0.595080398057244 -1.75316202747055 -1.65661488623195 0.894908441458487 58 18
5906222 "DIC" 7 103.448 106.019 -36.801 -37.241 "P" 737864.378182882 2020-03-14 2103.6711092742 8.46744194987088 5.9673689183724 0.169137630254784 1.37461383385134 0.313934231167547 0 0 0 0 1.21294604439631 0.73573535236307 0.467790560337801 0.296045924353183 2.29065073315233 0.511070342517232 0.756721206079036 59 51
5906222 "DIC" 8 103.476 106.019 -36.205 -37.241 "P" 737874.625208352 2020-03-24 2108.4903656036 8.46867112557755 18.3123430789636 0.511712875048986 1.25816962676437 0.287340709608594 0 0 0 0 1.2477344703512 0.59671975631272 0.657343602929666 0.388264109029011 10.0042181189951 4.66636897731512 0.674380574242871 61 49
5906222 "DIC" 9 104.192 106.019 -36.271 -37.241 "UP" 737884.8884491 2020-04-03 2113.00478823442 8.46864468432521 21.5433614191179 0.580337573529766 1.36428741106233 0.311575883303482 0 0 0 0 1.04580011329601 0.506699007821669 -0.125269918618999 0.239319805398139 19.7509832021145 -1.51947955609355 0.964728405746797 62 28
5906222 "DIC" 10 104.768 106.019 -37.349 -37.241 "UP" 737895.170162042 2020-04-14 2118.18013068708 8.469579681641 25.2037467462976 0.320647375334517 1.56009255529114 0.356293851287188 0 0 0 0 0.773711365669528 0.3987313990588 0.356813698267696 0.452160252802822 25.2966252928868 -4.1233015441772 0.850587557059623 64 63
5906222 "DIC" 11 104.591 106.019 -38.184 -37.241 "UP" 737905.420405105 2020-04-24 2129.23695492632 8.47157932299378 35.1060922331554 0.325075385547191 1.91483865875179 0.437310746728708 0 0 0 0 0.509681236479229 0.188868944472207 0.0969278254255762 0.518406637672577 25.8138178129988 5.40084369058936 0.641823545201781 65 79
5906222 "DIC" 12 104.414 106.019 -38.253 -37.241 "UP" 737915.662025483 2020-05-04 2129.66430398073 8.47165742399943 41.4708649369501 0.740528905163381 1.76776549299657 0.403722185287142 0 0 0 0 0.161647878215581 0.103898517803998 1.6862932629148 0.854954103475142 25.3382711014948 11.1641181825882 0.80575397592076 66 90
5906222 "DIC" 13 104.068 106.019 -38.752 -37.241 "UP" 737925.929328731 2020-05-14 2134.79833388883 8.47249488162691 43.2298115685424 1.31484014536212 1.52856840862508 0.349094368419265 0 0 0 0 -0.00114163456259556 0.00559092579181169 3.17894301232267 1.44248633956093 13.5513095467457 24.2569924891842 1.75372230347473 67 88
5906222 "DIC" 14 104.008 106.019 -38.745 -37.241 "UP" 737936.194895839 2020-05-25 2138.95468592863 8.47339429046692 42.396401576068 1.44771415101493 1.94199627111452 0.443513000734513 0 0 0 0 -0.00139366951540475 0.00405300084440007 3.68590314107864 1.68009030549531 10.5818230113323 25.6832035715585 2.12854105354783 67 86
5906222 "DIC" 15 103.808 106.019 -38.949 -37.241 "UP" 737946.444143532 2020-06-04 2144.87466773892 8.47430026219126 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 68 80
5906222 "DIC" 16 103.585 106.019 -39.089 -37.241 "UP" 737956.700960669 2020-06-14 2149.21844754065 8.47471830145303 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 69 122
